Country,Region,Continent,Population_M,New_Cases_2022,Deaths_2022,Incidence_Rate_Per_100K,Mortality_Rate_Per_100K,Five_Year_Survival_Pct,Stage_I_II_Pct,Screening_Program,Mammography_Coverage_Pct,Treatment_Access_Score,Healthcare_Quality_Index,Survival_Efficiency_Ratio,Detection_Efficiency_Score,Mortality_Burden_Index,Case_Fatality_Ratio,Income_Group,Expected_Survival_ByIncome,Survival_Gap_vs_Benchmark,StageShift_Potential,Modifiable_Risk_PAF_Sum,Lifestyle_vs_Genetic_Ratio,Max_RR_Modifiable,Weighted_PAF_Score,Mammography_x_Treatment,Screening_x_Stage,Incidence_x_HQI,Log_New_Cases,Log_Population,Mammography_Squared,Continent_Survival_Encoded,Region_Incidence_Mean,Region_Screening_Penetration,WHO_EarlyDetection_Gap,WHO_Treatment_Gap,WHO_Fully_Compliant,Risk_Score_Raw,Risk_Tier
United States,North America,Americas,331.9,287850,43250,89.4,13.0,91.0,66,True,72.4,95,57.64000000000001,1.017897091722595,47.784000000000006,1303.1033443808378,15.025186729199236,High,91.63000000000001,-0.6300000000000097,0,30.0,0.3592814371257485,1.7,250.0,6878.000000000001,66,5153.016000000001,12.570198264129536,5.807842144580979,5241.760000000001,77.05555555555556,86.45,100.0,-6,-15,1,36.80360824742268,Low
China,East Asia,Asia,1412.0,357000,75000,29.0,5.4,82.0,45,True,22.5,72,36.666666666666664,2.8275862068965516,10.125,531.1614730878186,21.008403361344538,UpperMid,64.94,17.060000000000002,10,30.0,0.3592814371257485,1.7,250.0,1620.0,45,1063.3333333333333,12.785493861878301,7.253470382684528,506.25,72.69411764705882,56.5,100.0,15,8,0,32.542268041237115,Low
India,South Asia,Asia,1408.0,195000,99000,25.8,12.7,66.0,30,False,8.2,48,18.186666666666667,2.558139534883721,2.4599999999999995,703.125,50.76923076923077,LowerMid,39.300000000000004,26.699999999999996,5,30.0,0.3592814371257485,1.7,250.0,393.59999999999997,0,469.216,12.180759965737863,7.25063551189868,67.24,72.69411764705882,26.53333333333333,0.0,30,32,0,55.812371134020616,High
Brazil,South America,Americas,214.3,73610,18360,46.8,11.9,75.5,42,True,35.0,65,37.666666666666664,1.6132478632478633,14.7,856.7428838077461,24.94226327944573,UpperMid,64.94,10.560000000000002,13,30.0,0.3592814371257485,1.7,250.0,2275.0,42,1762.7999999999997,11.206549750071193,5.372032404370318,1225.0,77.05555555555556,46.06,100.0,18,15,0,47.44407216494845,Mid
United Kingdom,Northern Europe,Europe,67.3,55920,11400,93.6,14.2,87.0,68,True,71.0,93,56.6,0.9294871794871795,48.28,1693.9078751857355,20.386266094420602,High,91.63000000000001,-4.63000000000001,-2,30.0,0.3592814371257485,1.7,250.0,6603.0,68,5297.76,10.931695259437355,4.223909766576744,5041.0,85.88461538461539,93.825,100.0,-8,-13,1,39.76855670103093,Low
Germany,Western Europe,Europe,83.2,69900,18570,90.5,16.5,88.0,72,True,55.0,94,52.666666666666664,0.9723756906077348,39.6,2231.971153846154,26.566523605150216,High,91.63000000000001,-3.6300000000000097,-6,30.0,0.3592814371257485,1.7,250.0,5170.0,72,4766.333333333333,11.154835234271214,4.4331949212482815,3025.0,85.88461538461539,98.12,100.0,-12,-14,1,42.3680412371134,Mid
France,Western Europe,Europe,67.8,61210,12150,99.1,15.6,87.5,70,True,52.0,93,51.53333333333333,0.8829465186680122,36.4,1792.0353982300887,19.84969776180363,High,91.63000000000001,-4.13000000000001,-4,30.0,0.3592814371257485,1.7,250.0,4836.0,70,5106.953333333333,11.022082190911469,4.231203744939298,2704.0,85.88461538461539,98.12,100.0,-10,-13,1,41.519329896907216,Mid
Japan,East Asia,Asia,125.7,94000,15800,76.3,10.6,92.2,58,True,44.7,90,48.586666666666666,1.2083879423328965,25.926000000000002,1256.9610182975337,16.80851063829787,High,91.63000000000001,0.5699999999999932,8,30.0,0.3592814371257485,1.7,250.0,4023.0000000000005,58,3707.1626666666666,11.451060699493427,4.841822087327094,1998.0900000000001,72.69411764705882,56.5,100.0,2,-10,0,34.45371134020619,Low
Australia,Oceania,Oceania,25.7,20600,3100,88.7,11.0,91.5,70,True,55.0,96,53.333333333333336,1.0315670800450958,38.5,1206.2256809338521,15.048543689320388,High,91.63000000000001,-0.13000000000000966,-4,30.0,0.3592814371257485,1.7,250.0,5280.0,70,4730.666666666667,9.933094897288786,3.2846635654062037,3025.0,90.5,85.95,100.0,-10,-16,1,31.820360824742274,Low
Canada,North America,Americas,38.2,28600,5500,83.5,12.2,89.0,67,True,62.0,94,54.53333333333333,1.0658682634730539,41.54,1439.7905759162302,19.230769230769234,High,91.63000000000001,-2.6300000000000097,-1,30.0,0.3592814371257485,1.7,250.0,5828.0,67,4553.533333333333,10.261196961231647,3.6686767467964168,3844.0,77.05555555555556,86.45,100.0,-7,-14,1,35.76030927835052,Low
Italy,Southern Europe,Europe,59.6,55700,12300,92.6,15.8,87.0,65,True,57.0,92,52.53333333333333,0.939524838012959,37.05,2063.758389261745,22.082585278276483,High,91.63000000000001,-4.63000000000001,1,30.0,0.3592814371257485,1.7,250.0,5244.0,65,4864.586666666666,10.92775337907558,4.104294893075269,3249.0,85.88461538461539,85.75,100.0,-5,-12,1,43.555154639175264,Mid
Spain,Southern Europe,Europe,47.4,34750,6600,78.9,11.6,86.0,63,True,67.0,91,54.86666666666667,1.0899873257287704,42.21,1392.4050632911394,18.992805755395683,High,91.63000000000001,-5.63000000000001,3,30.0,0.3592814371257485,1.7,250.0,6097.0,63,4328.9800000000005,10.455963627557306,3.879499813722586,4489.0,85.88461538461539,85.75,100.0,-3,-11,1,36.927835051546396,Low
